ABASE ON-LINE|ZOETIS|ZOETIS ÉTICOS|CÓDIGO
SIM|SIM|SIM|9940
SIM|SIM|SIM|2372
SIM|SIM|SIM|2271
SIM|SIM|SIM|9445
SIM|SIM|não|353
SIM|SIM|não|7211
SIM|SIM|SIM|2391
SIM|SIM|SIM|1873
SIM|SIM|não|7525
SIM|SIM|SIM|3630
SIM|SIM|não|2123
SIM|SIM|SIM|3053
SIM|SIM|não|2311
SIM|SIM|não|4306
SIM|SIM|não|1276
SIM|SIM|SIM|9133
SIM|SIM|não|5159
SIM|SIM|SIM|8509
SIM|SIM|SIM|2552
SIM|SIM|SIM|9684
SIM|SIM|SIM|6539
SIM|SIM|SIM|7844
SIM|SIM|SIM|2305
SIM|SIM|SIM|5845
SIM|SIM|SIM|7989
SIM|SIM|SIM|3754
SIM|SIM|não|7718
SIM|SIM|não|2356
SIM|SIM|SIM|902
SIM|SIM|SIM|2370
SIM|SIM|não|2541
SIM|SIM|SIM|1564
SIM|SIM|SIM|1765
SIM|SIM|não|6793
SIM|SIM|SIM|2341
SIM|SIM|não|9147
SIM|SIM|SIM|3479
SIM|SIM|SIM|3296
SIM|SIM|não|6510
SIM|SIM|não|7884
SIM|SIM|SIM|6689
SIM|SIM|não|3291
SIM|SIM|SIM|1781
SIM|SIM|SIM|3189
SIM|SIM|SIM|3329
SIM|SIM|não|4477
SIM|SIM|não|2632
SIM|SIM|não|2915
NÃO|NÃO|não|4584
SIM|SIM|SIM|6464
SIM|SIM|SIM|2742
SIM|SIM|SIM|8259
SIM|SIM|SIM|4812
SIM|SIM|SIM|1680
SIM|SIM|SIM|716
SIM|SIM|SIM|4720
SIM|SIM|não|3572
SIM|SIM|não|2290
SIM|SIM|SIM|5752
SIM|SIM|não|3448
SIM|SIM|SIM|4588
SIM|SIM|SIM|2627
SIM|SIM|não|7585
SIM|SIM|SIM|6880
SIM|SIM|SIM|3336
SIM|SIM|SIM|7435
SIM|SIM|não|3290
SIM|SIM|SIM|4424
SIM|SIM|não|5959
SIM|SIM|SIM|6128
SIM|SIM|SIM|3506
SIM|SIM|não|6271
SIM|SIM|SIM|2097
SIM|SIM|não|1745
SIM|SIM|SIM|859
SIM|SIM|SIM|6412
SIM|SIM|SIM|6466
SIM|SIM|não|4253
SIM|SIM|não|3664
SIM|SIM|SIM|4450
SIM|SIM|não|1625
SIM|SIM|não|5844
SIM|SIM|SIM|9746
SIM|SIM|SIM|3770
SIM|SIM|SIM|6158
SIM|NÃO|não|2340
SIM|SIM|SIM|5041
SIM|SIM|SIM|2542
SIM|SIM|SIM|4414
SIM|SIM|não|3054
SIM|SIM|não|9009
SIM|SIM|não|6814
SIM|SIM|não|5316
SIM|SIM|SIM|9457
SIM|SIM|não|71
SIM|SIM|SIM|6498
SIM|SIM|não|9202
SIM|SIM|SIM|2410
SIM|SIM|não|4122
SIM|SIM|SIM|3485
SIM|SIM|SIM|4147
SIM|SIM|SIM|6690
SIM|SIM|SIM|3423
SIM|SIM|SIM|5786
SIM|SIM|SIM|891
SIM|SIM|SIM|6550
SIM|SIM|SIM|2221
SIM|SIM|não|1502
SIM|SIM|não|2333
SIM|SIM|SIM|4815
SIM|SIM|SIM|4413
SIM|SIM|não|8652
SIM|SIM|SIM|6184
SIM|SIM|não|2601
SIM|SIM|não|3116
SIM|SIM|SIM|9452
SIM|SIM|SIM|9941
SIM|SIM|SIM|3437
SIM|SIM|SIM|2430
SIM|SIM|SIM|1582
SIM|SIM|SIM|2317
SIM|SIM|SIM|8506
SIM|SIM|SIM|512
SIM|SIM|SIM|2307
SIM|SIM|não|8818
SIM|SIM|SIM|3976
SIM|SIM|SIM|6046
SIM|SIM|SIM|8323
SIM|SIM|SIM|4726
SIM|SIM|SIM|8183
SIM|SIM|não|7373
SIM|SIM|SIM|4141
