status_allin|id_erp|grupo_restricao
1|3535|
1|3542|[abase-restric-o-de-vacinas]
1|3547|[abase-restric-o-de-vacinas]
1|3557|[abase-restric-o-de-vacinas]
1|3564|
1|3568|
1|3574|
0|9643|[abase-restric-o-de-vacinas]
1|3582|[abase-restric-o-de-vacinas]
0|3584|[abase-restric-o-de-vacinas]
1|3593|[abase-restric-o-de-vacinas]
1|3605|[abase-restric-o-de-vacinas]
0|9639|[abase-restric-o-de-vacinas]
0|3612|[abase-restric-o-de-vacinas]
1|3617|[abase-restric-o-de-vacinas]
1|3624|[abase-restric-o-de-vacinas]
0|3632|[abase-restric-o-de-vacinas]
1|3634|
1|3641|
1|3653|
1|3654|
0|3656|[abase-restric-o-de-vacinas]
0|3657|[abase-restric-o-de-vacinas]
1|3662|[abase-restric-o-de-vacinas]
1|3664|[abase-restric-o-de-vacinas]
0|3665|[abase-restric-o-de-vacinas]
1|3673|[abase-restric-o-de-vacinas]
1|3687|[abase-restric-o-de-vacinas]
1|3705|[abase-restric-o-de-vacinas]
1|3708|
1|3722|[abase-restric-o-de-vacinas]
1|3740|[abase-restric-o-de-vacinas]
1|3750|[abase-restric-o-de-vacinas]
1|3751|[abase-restric-o-de-vacinas]
1|3752|[abase-restric-o-de-vacinas]
1|3753|
1|3754|
0|9882|[abase-restric-o-de-vacinas]
0|9644|[abase-restric-o-de-vacinas]
1|3767|[abase-restric-o-de-vacinas]
0|3768|[abase-restric-o-de-vacinas]
0|9053|[abase-restric-o-de-vacinas]
1|3783|
1|3789|[abase-restric-o-de-vacinas]
1|3799|[abase-restric-o-de-vacinas]
1|3800|
1|3808|[abase-restric-o-de-vacinas]
0|3809|[abase-restric-o-de-vacinas]
1|3810|
1|3831|
1|3837|[abase-restric-o-de-vacinas]
1|3839|[abase-restric-o-de-vacinas]
1|3847|[abase-restric-o-de-vacinas]
1|7953|
1|3871|[abase-restric-o-de-vacinas]
1|3888|
1|3889|
1|3890|[abase-restric-o-de-vacinas]
1|3912|[abase-restric-o-de-vacinas]
0|9316|[abase-restric-o-de-vacinas]
1|3930|[abase-restric-o-de-vacinas]
1|3934|
1|3937|
0|3938|[abase-restric-o-de-vacinas]
1|3945|[abase-restric-o-de-vacinas]
1|3946|[abase-restric-o-de-vacinas]
1|3949|
1|3976|
1|9246|
1|3992|
1|4015|
0|4023|[abase-restric-o-de-vacinas]
1|4027|
1|4037|[abase-restric-o-de-vacinas]
1|4045|
1|4051|[abase-restric-o-de-vacinas]
1|4055|
0|2265|[abase-restric-o-de-vacinas]
1|4069|
1|4085|[abase-restric-o-de-vacinas]
1|4089|[abase-restric-o-de-vacinas]
0|8909|[abase-restric-o-de-vacinas]
1|4103|[abase-restric-o-de-vacinas]
1|4106|[abase-restric-o-de-vacinas]
0|4110|[abase-restric-o-de-vacinas]
1|9835|[abase-restric-o-de-vacinas]
0|4125|[abase-restric-o-de-vacinas]
1|4130|
0|4132|[abase-restric-o-de-vacinas]
0|4137|[abase-restric-o-de-vacinas]
1|9808|[abase-restric-o-de-vacinas]
1|4142|
1|4145|
1|4158|
1|4218|
1|4173|[abase-restric-o-de-vacinas]
1|4187|[abase-restric-o-de-vacinas]
0|4194|[abase-restric-o-de-vacinas]
1|4195|[abase-restric-o-de-vacinas]
1|4198|[abase-restric-o-de-vacinas]
1|4199|[abase-restric-o-de-vacinas]
1|4214|
1|4215|[abase-restric-o-de-vacinas]
1|4956|
1|3699|[abase-restric-o-de-vacinas]
1|4254|[abase-restric-o-de-vacinas]
1|4258|[abase-restric-o-de-vacinas]
0|4274|[abase-restric-o-de-vacinas]
1|4282|
1|2247|
1|4308|[abase-restric-o-de-vacinas]
1|4310|[abase-restric-o-de-vacinas]
0|4311|[abase-restric-o-de-vacinas]
1|4312|
0|7090|[abase-restric-o-de-vacinas]
1|4319|
1|4323|
1|4324|
1|4350|
1|4353|
1|9114|[abase-restric-o-de-vacinas]
1|6298|
1|4396|
1|4413|
1|4414|
1|4417|[abase-restric-o-de-vacinas]
0|4420|[abase-restric-o-de-vacinas]
1|4422|
0|4423|[abase-restric-o-de-vacinas]
1|4424|
1|4427|
1|4438|
1|4442|
1|4444|
0|9197|[abase-restric-o-de-vacinas]
1|4471|[abase-restric-o-de-vacinas]
1|4476|
0|7573|[abase-restric-o-de-vacinas]
1|4507|
1|4534|[abase-restric-o-de-vacinas]
1|4544|
1|4545|[abase-restric-o-de-vacinas]
1|4546|
1|4548|
1|4560|
1|4583|
1|4588|
1|4602|
1|4628|[abase-restric-o-de-vacinas]
1|4640|[abase-restric-o-de-vacinas]
0|9066|[abase-restric-o-de-vacinas]
1|4642|
1|4660|[abase-restric-o-de-vacinas]
0|4663|[abase-restric-o-de-vacinas]
0|4681|[abase-restric-o-de-vacinas]
0|4687|[abase-restric-o-de-vacinas]
0|4688|[abase-restric-o-de-vacinas]
0|4700|[abase-restric-o-de-vacinas]
1|4702|
1|4720|
1|4721|
1|4726|
1|4728|[abase-restric-o-de-vacinas]
0|4738|[abase-restric-o-de-vacinas]
1|4743|[abase-restric-o-de-vacinas]
1|4758|[abase-restric-o-de-vacinas]
0|4761|[abase-restric-o-de-vacinas]
1|4766|
1|4773|
1|4780|
1|4783|[abase-restric-o-de-vacinas]
1|4786|
1|4787|
1|4788|
0|4797|[abase-restric-o-de-vacinas]
1|4812|
1|4813|
0|9098|[abase-restric-o-de-vacinas]
1|4815|
0|4829|[abase-restric-o-de-vacinas]
1|4841|
1|4846|
1|4847|[abase-restric-o-de-vacinas]
1|4870|
1|4873|[abase-restric-o-de-vacinas]
1|4874|[abase-restric-o-de-vacinas]
1|4877|[abase-restric-o-de-vacinas]
0|4890|[abase-restric-o-de-vacinas]
1|4900|
1|4902|[abase-restric-o-de-vacinas]
1|4928|
0|9106|[abase-restric-o-de-vacinas]
0|4955|[abase-restric-o-de-vacinas]
1|4977|[abase-restric-o-de-vacinas]
1|4975|
1|4979|
1|4992|
1|4994|
0|5012|[abase-restric-o-de-vacinas]
0|842|[abase-restric-o-de-vacinas]
1|5022|
1|6047|[abase-restric-o-de-vacinas]
1|5029|
1|5031|
1|5042|
1|5047|
0|5082|[abase-restric-o-de-vacinas]
